Instance;num-models;num-parts;mean-demand;rsd-demand;mean-file-bytes;rsd-file-bytes;mean-MCV;rsd-MCV;mean-v-value;rsd-v-value;mean-connectivity-score;rsd-connectivity-score;mean-SR;rsd-SR;mean-MCVSR;rsd-MCVSR;mean-vol-MBB;rsd-vol-MBB;mean-num-facets;rsd-num-facets;mean-surface-area;rsd-surface-area;mean-volume;rsd-volume;vol-container;surface-container;mean-rel-vol-MBB;rsd-rel-vol-MBB;mean-rel-volume;rsd-rel-volume;mean-rel-surface-area;rsd-rel-surface-area;perc-parts-MCV-00-02;perc-parts-vvalue-00-02;perc-parts-SR-00-02;perc-parts-rel-vol-00-02;perc-parts-rel-vol-MBB-00-02;perc-parts-MCV-02-04;perc-parts-vvalue-02-04;perc-parts-SR-02-04;perc-parts-rel-vol-02-04;perc-parts-rel-vol-MBB-02-04;perc-parts-MCV-04-06;perc-parts-vvalue-04-06;perc-parts-SR-04-06;perc-parts-rel-vol-04-06;perc-parts-rel-vol-MBB-04-06;perc-parts-MCV-06-08;perc-parts-vvalue-06-08;perc-parts-SR-06-08;perc-parts-rel-vol-06-08;perc-parts-rel-vol-MBB-06-08;perc-parts-MCV-08-10;perc-parts-vvalue-08-10;perc-parts-SR-08-10;perc-parts-rel-vol-08-10;perc-parts-rel-vol-MBB-08-10;perc-parts-rel-vol-greater10;perc-parts-rel-vol-MBB-greater10
3DIPP-Instance-00013;17;18;1.059;0.222;273728.444;2.634;0.462;0.517;0.125;0.582;558.849;4.097;0.327;0.599;0.186;1.011;535859.662;1.48;5472.889;2.635;27684.022;0.65;113043.974;1.071;6758775;222990;0.052;0.883;0.016;1.173;0.124;0.65;0.167;0.889;0.278;1;1;0.278;0.111;0.444;0;0;0.278;0;0.111;0;0;0.222;0;0.167;0;0;0.056;0;0;0;0;0;0
3DIPP-Instance-00014;13;19;1.462;0.434;750423.474;1.41;0.511;0.632;0.079;0.711;7.065;0.667;0.398;0.589;0.245;1.021;763734.712;1.566;15006.789;1.41;34619.097;1.129;121547.656;1.359;12852000;331320;0.041;1.378;0.009;1.534;0.104;1.129;0.316;0.947;0.211;1;1;0.158;0.053;0.263;0;0;0.158;0;0.421;0;0;0.105;0;0.053;0;0;0.263;0;0.053;0;0;0;0
3DIPP-Instance-00015;8;20;2.5;0.6;211664;1.187;0.597;0.561;0.077;0.7;5.647;0.572;0.486;0.38;0.329;0.712;278660.755;1.065;4231.6;1.187;19611.393;0.704;117009.644;0.898;4440625;162750;0.062;1.074;0.027;0.861;0.121;0.704;0.05;1;0.05;1;0.95;0.4;0;0.2;0;0.05;0.1;0;0.6;0;0;0;0;0.15;0;0;0.45;0;0;0;0;0;0
3DIPP-Instance-00016;13;21;1.615;0.71;901926.857;1.078;0.654;0.457;0.107;0.719;956.727;3.067;0.402;0.454;0.308;0.737;338501.49;1.444;18036.857;1.078;23138.273;0.768;95441.109;1.346;4440625;162750;0.057;1.102;0.02;1.528;0.142;0.768;0.143;0.952;0.143;1;0.952;0.095;0.048;0.429;0;0.048;0.143;0;0.333;0;0;0.286;0;0.095;0;0;0.333;0;0;0;0;0;0
3DIPP-Instance-00017;18;22;1.222;0.34;264547.636;1.286;0.443;0.481;0.111;0.48;3.994;0.458;0.281;0.663;0.154;1.012;737418.378;1.425;5289.273;1.286;30204.399;0.767;124282.096;0.918;4440625;162750;0.114;0.929;0.028;0.943;0.186;0.767;0.136;0.909;0.455;1;0.727;0.409;0.091;0.318;0;0.273;0.227;0;0.136;0;0;0.136;0;0.091;0;0;0.091;0;0;0;0;0;0
3DIPP-Instance-00018;17;23;1.353;0.435;390510.087;1.764;0.454;0.555;0.108;0.507;451.08;4.515;0.294;0.685;0.138;0.753;1098849.768;0.833;7808.522;1.765;49777.054;0.643;240345.879;0.725;18750000;425000;0.052;0.803;0.013;0.836;0.117;0.643;0.13;0.913;0.348;1;1;0.391;0.087;0.435;0;0;0.304;0;0;0;0;0;0;0.217;0;0;0.174;0;0;0;0;0;0
3DIPP-Instance-00019;10;24;2.4;0.382;212746.5;1.431;0.441;0.355;0.128;0.251;3.845;0.801;0.376;0.593;0.191;0.75;792603.154;0.763;4253.25;1.432;47005.977;0.463;182193.337;0.786;6758775;222990;0.099;0.711;0.027;0.85;0.211;0.463;0;1;0.292;1;0.833;0.417;0;0.208;0;0.167;0.542;0;0.292;0;0;0;0;0.208;0;0;0.042;0;0;0;0;0;0
3DIPP-Instance-00020;8;25;3.125;0.492;495208;1.288;0.59;0.344;0.151;0.196;3.91;0.301;0.349;0.592;0.198;0.759;841618.125;1.121;9902.48;1.288;31985.142;0.557;156734.569;0.792;2578125;113750;0.235;0.868;0.06;0.825;0.281;0.557;0;1;0.4;1;0.56;0.32;0;0.12;0;0.24;0.16;0;0.4;0;0.2;0.32;0;0.08;0;0;0.2;0;0;0;0;0;0
3DIPP-Instance-00021;14;26;1.857;0.493;134145.538;0.95;0.511;0.436;0.138;0.339;3.736;0.357;0.396;0.618;0.232;0.838;622938.743;1.111;2681.231;0.95;34425.291;0.683;196483.51;0.922;4440625;162750;0.119;0.865;0.044;0.909;0.212;0.683;0.154;0.962;0.308;1;0.885;0.115;0.038;0.231;0;0.115;0.423;0;0.154;0;0;0.154;0;0.308;0;0;0.154;0;0;0;0;0;0
3DIPP-Instance-00022;15;27;1.8;0.544;503861.778;1.284;0.629;0.366;0.145;0.448;374.369;5.042;0.341;0.716;0.25;1.015;544242.35;1.01;10075.556;1.285;50924.433;1.337;106971.382;1.026;12852000;331320;0.04;1.076;0.009;1.045;0.154;1.337;0.111;0.926;0.222;1;1;0.037;0.074;0.556;0;0;0.407;0;0;0;0;0.222;0;0.148;0;0;0.222;0;0.074;0;0;0;0
3DIPP-Instance-00023;8;28;3.5;0.319;341244.714;1.215;0.519;0.531;0.115;0.471;4.265;0.442;0.308;0.834;0.189;1.066;662704.12;1.311;6823.214;1.216;23969.335;0.889;108346.744;1.291;4440625;162750;0.085;1.229;0.023;1.333;0.147;0.889;0.179;1;0.429;1;0.893;0.286;0;0.286;0;0.107;0.107;0;0;0;0;0.25;0;0.286;0;0;0.179;0;0;0;0;0;0
3DIPP-Instance-00024;28;29;1.036;0.179;404136.31;2.337;0.504;0.61;0.106;0.638;704.219;3.593;0.32;0.8;0.204;1.235;778859.331;1.769;8079.897;2.338;22760.834;1.211;128004.152;2.337;6758775;222990;0.078;1.59;0.018;2.478;0.102;1.211;0.207;0.931;0.414;0.966;0.862;0.276;0.069;0.31;0.034;0.069;0.172;0;0.103;0;0.069;0.103;0;0.103;0;0;0.241;0;0.069;0;0;0;0
3DIPP-Instance-00025;20;30;1.5;0.494;468820.667;1.603;0.43;0.551;0.143;0.361;3.08;0.462;0.226;0.759;0.122;1.172;700532.386;0.793;9374.733;1.603;35085.665;0.749;128518.817;1.075;18750000;425000;0.031;0.719;0.007;1.11;0.083;0.749;0.1;0.9;0.6;1;1;0.467;0.1;0.2;0;0;0.133;0;0.133;0;0;0.233;0;0.067;0;0;0.067;0;0;0;0;0;0
3DIPP-Instance-00026;13;31;2.385;0.582;339648.516;1.774;0.438;0.539;0.124;0.446;3.567;0.343;0.258;0.481;0.122;0.73;848436.796;1.001;6791.29;1.774;36167.423;0.8;137764.783;0.853;2578125;113750;0.256;1.12;0.054;0.866;0.318;0.8;0;0.935;0.419;1;0.516;0.677;0.065;0.355;0;0.29;0.065;0;0.226;0;0.065;0.161;0;0;0;0;0.097;0;0;0;0.129;0;0
3DIPP-Instance-00027;13;32;2.462;0.41;445132.438;1.594;0.559;0.382;0.12;0.447;629.203;3.845;0.304;0.578;0.175;0.905;1122293.147;1.142;9064.344;1.574;36915.249;0.715;190816.468;0.965;16500000;397000;0.047;0.99;0.012;1.041;0.093;0.717;0;0.969;0.25;1;1;0.406;0.031;0.531;0;0;0.281;0;0.156;0;0;0.063;0;0.063;0;0;0.25;0;0;0;0;0;0
3DIPP-Instance-00028;8;33;4.125;0.599;375594.606;1.466;0.76;0.298;0.097;0.624;38.279;2.133;0.385;0.711;0.305;0.73;1124018.024;1.969;7510.212;1.466;33372.464;1.294;340704.826;1.759;4440625;162750;0.139;1.423;0.076;1.803;0.205;1.294;0;0.909;0.333;0.848;0.758;0.121;0.091;0.394;0.152;0.152;0.182;0;0.121;0;0.091;0.303;0;0;0;0;0.394;0;0.152;0;0;0;0
3DIPP-Instance-00029;7;34;4.857;0.232;807692.824;0.821;0.394;0.529;0.126;0.517;3.543;0.413;0.239;0.489;0.108;0.881;1056693.902;1.039;16152.176;0.821;45645.743;0.433;156600.667;0.596;6758775;222990;0.125;0.735;0.022;0.614;0.205;0.433;0.235;0.824;0.441;1;0.676;0.324;0.176;0.412;0;0.324;0.118;0;0.147;0;0;0.324;0;0;0;0;0;0;0;0;0;0;0
3DIPP-Instance-00030;16;35;2.188;0.463;588432.571;1.482;0.382;0.601;0.102;0.335;3.666;0.438;0.266;0.597;0.116;0.892;708072.557;1.343;11766.971;1.482;34934.368;0.853;130902.183;1.209;12852000;331320;0.047;1.288;0.01;1.242;0.105;0.853;0.057;0.971;0.4;1;0.914;0.657;0.029;0.429;0;0.086;0.086;0;0.171;0;0;0.086;0;0;0;0;0.114;0;0;0;0;0;0
3DIPP-Instance-00031;25;36;1.44;0.443;702814.556;1.746;0.469;0.588;0.1;0.481;281.901;5.827;0.313;0.721;0.188;1.095;806096.056;1.338;14054.611;1.746;36126.872;1.007;138177.533;1.014;2578125;113750;0.243;1.424;0.053;1.051;0.318;1.007;0.222;1;0.444;1;0.694;0.278;0;0.194;0;0.139;0.167;0;0.222;0;0.056;0.222;0;0.111;0;0.028;0.111;0;0.028;0;0.056;0;0.028
3DIPP-Instance-00032;30;37;1.233;0.343;576184;1.092;0.44;0.616;0.115;0.559;273.901;5.918;0.279;0.814;0.172;1.35;813400.308;1.335;11522;1.092;38714.305;1.168;132520.996;1.053;2578125;113750;0.274;1.32;0.05;1.079;0.34;1.168;0.162;0.919;0.405;0.973;0.595;0.432;0.081;0.378;0.027;0.189;0.216;0;0.081;0;0.054;0;0;0.054;0;0.108;0.189;0;0.081;0;0;0;0.054
3DIPP-Instance-00033;6;38;6.333;0.252;352177.421;1.928;0.603;0.438;0.096;0.49;1845.653;2.099;0.397;0.589;0.288;0.808;1084105.443;0.908;7041.868;1.928;44906.819;0.609;155439.486;0.446;18750000;425000;0.037;0.829;0.008;0.557;0.106;0.609;0;1;0.395;1;1;0.395;0;0.105;0;0;0.105;0;0.184;0;0;0.184;0;0.316;0;0;0.316;0;0;0;0;0;0
3DIPP-Instance-00034;29;39;1.345;0.353;354200.872;1.802;0.488;0.523;0.121;0.521;3.984;0.764;0.34;0.741;0.216;1.235;674780.198;1.364;30032.872;3.26;24668.996;0.765;125816.631;1.222;6758775;222990;0.064;1.043;0.019;1.192;0.111;0.761;0.051;0.821;0.333;1;1;0.462;0.179;0.385;0;0;0.231;0;0.103;0;0;0.077;0;0.128;0;0;0.179;0;0.051;0;0;0;0
3DIPP-Instance-00035;11;40;3.636;0.316;344321.5;1.65;0.479;0.477;0.121;0.494;3.952;0.563;0.293;0.519;0.141;0.638;852729.892;0.877;6884.75;1.65;41611.096;0.59;217395.319;0.867;12852000;331320;0.064;0.889;0.017;0.859;0.126;0.59;0;0.9;0.2;1;0.95;0.625;0.1;0.7;0;0.05;0;0;0;0;0;0.275;0;0.1;0;0;0.1;0;0;0;0;0;0
3DIPP-Instance-00036;16;41;2.563;0.497;447059.61;1.177;0.482;0.41;0.133;0.283;3.801;0.428;0.334;0.649;0.196;0.816;840544.951;1.146;8939.512;1.177;35762.746;0.797;140647.156;0.839;4440625;162750;0.148;1.036;0.03;0.887;0.22;0.797;0.073;1;0.341;1;0.78;0.317;0;0.244;0;0.146;0.268;0;0.268;0;0.073;0.244;0;0.146;0;0;0.098;0;0;0;0;0;0
3DIPP-Instance-00037;25;42;1.68;0.436;520560.19;1.407;0.494;0.432;0.142;0.402;161.869;4.381;0.31;0.609;0.179;0.912;1154181.097;1.8;10409.524;1.407;31042.742;1.038;182224.461;1.639;12852000;331320;0.048;1.341;0.014;1.666;0.094;1.038;0.024;0.81;0.31;1;1;0.381;0.19;0.405;0;0;0.357;0;0.19;0;0;0.19;0;0.095;0;0;0.048;0;0;0;0;0;0
3DIPP-Instance-00038;40;43;1.075;0.245;532507.651;1.897;0.507;0.559;0.124;0.609;359.462;4.638;0.309;0.703;0.193;1.041;880633.431;1.721;10647.698;1.897;33964.533;1.053;127370.458;1.379;6758775;222990;0.087;1.393;0.018;1.474;0.152;1.053;0.186;0.814;0.372;1;0.837;0.209;0.186;0.279;0;0.14;0.209;0;0.256;0;0.023;0.233;0;0.07;0;0;0.163;0;0.023;0;0;0;0
3DIPP-Instance-00039;8;44;5.5;0.129;92043.091;0.731;0.407;0.338;0.127;0.323;3.389;0.306;0.304;0.354;0.127;0.489;763919.311;0.99;1839.182;0.732;40977.81;0.729;217738.203;1.194;16500000;397000;0.046;0.987;0.012;1.401;0.103;0.729;0;1;0.273;1;1;0.636;0;0.614;0;0;0.25;0;0.114;0;0;0.114;0;0;0;0;0;0;0;0;0;0;0
3DIPP-Instance-00040;22;45;2.045;0.429;403786.222;1.407;0.54;0.611;0.096;0.714;8.21;1.199;0.36;0.58;0.235;0.996;613994.895;1.794;8074.044;1.407;31450.532;1.096;85456.478;1.43;4440625;162750;0.093;1.564;0.015;1.242;0.193;1.096;0.267;0.933;0.289;1;0.867;0.244;0.067;0.289;0;0.067;0.022;0;0.267;0;0.067;0.244;0;0.156;0;0;0.222;0;0;0;0;0;0
3DIPP-Instance-00041;38;46;1.211;0.337;245652.478;1.205;0.439;0.506;0.125;0.444;3.983;1.012;0.297;0.653;0.162;1.126;1224137.504;1.463;4911.37;1.206;42192.026;0.882;209386.876;1.181;2578125;113750;0.337;1.168;0.081;1.185;0.371;0.882;0.109;0.87;0.391;0.87;0.587;0.457;0.13;0.391;0.13;0.174;0.217;0;0.152;0;0.043;0.152;0;0.043;0;0;0.065;0;0.022;0;0.13;0;0.065
3DIPP-Instance-00042;35;47;1.343;0.396;289493.574;1.728;0.493;0.523;0.112;0.52;641.968;3.451;0.338;0.625;0.197;0.95;980215.246;0.998;5788.191;1.728;43042.052;0.749;218713.318;0.988;16500000;397000;0.047;0.977;0.014;1.032;0.108;0.749;0.106;0.957;0.277;1;1;0.319;0.043;0.426;0;0;0.234;0;0.106;0;0;0.213;0;0.191;0;0;0.128;0;0;0;0;0;0
3DIPP-Instance-00043;12;48;4;0.382;814571.5;1.773;0.434;0.636;0.09;0.702;1045.647;2.92;0.363;0.622;0.191;1.247;196161.438;2.026;16289.75;1.773;25746.664;1.876;38479.565;1.214;4440625;162750;0.043;2.1;0.009;1.232;0.158;1.876;0.208;0.979;0.292;1;0.938;0.354;0.021;0.354;0;0.063;0.271;0;0.229;0;0;0;0;0.021;0;0;0.167;0;0.104;0;0;0;0
3DIPP-Instance-00044;14;49;3.5;0.319;174335.02;1.622;0.472;0.437;0.128;0.439;3.771;0.441;0.304;0.532;0.159;0.792;475989.817;1.07;3485.02;1.623;30146.805;0.728;129201.342;0.9;16500000;397000;0.029;1.094;0.008;1.054;0.076;0.728;0.041;0.857;0.286;1;1;0.449;0.143;0.449;0;0;0.245;0;0.204;0;0;0.224;0;0.061;0;0;0.041;0;0;0;0;0;0
3DIPP-Instance-00045;34;50;1.471;0.412;804490;1.763;0.532;0.561;0.101;0.669;604.873;3.462;0.422;0.637;0.289;1.03;584412.019;1.402;16088.12;1.763;27574.979;0.987;131835.648;1.4;6758775;222990;0.064;1.497;0.019;1.408;0.124;0.987;0.12;0.98;0.22;1;0.92;0.32;0.02;0.36;0;0.06;0.24;0;0.1;0;0.02;0.06;0;0.26;0;0;0.26;0;0.06;0;0;0;0
3DIPP-Instance-00046;25;51;2.04;0.643;313444.784;1.66;0.524;0.522;0.111;0.487;593.5;3.962;0.338;0.563;0.215;0.947;604343.876;1.263;6267.216;1.66;41155.417;0.85;181602.448;0.957;2578125;113750;0.227;1.291;0.055;0.883;0.362;0.85;0.059;0.98;0.314;1;0.784;0.392;0.02;0.235;0;0.059;0.157;0;0.373;0;0.02;0.196;0;0.078;0;0.059;0.196;0;0;0;0.059;0;0.02
3DIPP-Instance-00047;22;52;2.364;0.487;542432.077;2.318;0.481;0.483;0.127;0.373;196.105;7;0.409;0.535;0.232;0.885;619256.954;1.264;10846.962;2.319;30938.949;0.764;199837.165;1.632;18750000;425000;0.023;0.978;0.009;1.957;0.073;0.764;0.154;1;0.192;1;1;0.269;0;0.308;0;0;0.365;0;0.308;0;0;0.038;0;0.135;0;0;0.173;0;0.058;0;0;0;0
3DIPP-Instance-00048;17;53;3.118;0.438;459310.415;1.444;0.489;0.563;0.115;0.451;5.097;0.876;0.267;0.643;0.168;1.078;797402.781;1.058;9184.528;1.445;33448.837;0.842;101180.812;0.658;12852000;331320;0.046;1.112;0.007;0.766;0.101;0.842;0.094;0.962;0.453;1;1;0.358;0.038;0.34;0;0;0.151;0;0.151;0;0;0.189;0;0.057;0;0;0.208;0;0;0;0;0;0
3DIPP-Instance-00049;4;54;13.5;0.237;1110613.63;1.793;0.326;0.147;0.112;0.158;2.945;0.107;0.174;0.603;0.053;0.501;1219186.729;1.021;22210.593;1.793;36515.057;0.86;119540.569;1.097;4440625;162750;0.203;0.99;0.025;1.267;0.224;0.86;0;1;0.722;1;0.667;0.796;0;0.278;0;0;0.204;0;0;0;0.333;0;0;0;0;0;0;0;0;0;0;0;0
3DIPP-Instance-00050;38;55;1.447;0.44;573338.855;1.665;0.546;0.49;0.11;0.51;368.882;5.072;0.357;0.595;0.233;0.922;737171.93;1.153;11464.491;1.665;34204.919;0.94;174305.96;1.102;16500000;397000;0.037;1.076;0.011;1.071;0.086;0.94;0.091;1;0.255;1;1;0.291;0;0.345;0;0;0.273;0;0.236;0;0;0.091;0;0.145;0;0;0.255;0;0.018;0;0;0;0
3DIPP-Instance-00051;38;56;1.474;0.533;239821.5;1.619;0.421;0.583;0.109;0.513;182.614;7.249;0.317;0.589;0.159;1.049;682706.908;1.294;4794.75;1.62;31226.493;0.704;109105.984;0.997;2578125;113750;0.195;0.996;0.042;1;0.275;0.704;0.107;0.875;0.357;0.982;0.661;0.5;0.125;0.304;0.018;0.161;0.196;0;0.25;0;0.125;0.054;0;0.089;0;0.054;0.143;0;0;0;0;0;0
3DIPP-Instance-00052;7;57;8.143;0.241;86141.351;1.232;0.402;0.608;0.079;0.41;4.441;0.572;0.356;0.879;0.215;1.445;298411.546;0.905;1717.053;1.238;26127.396;0.767;109500.095;0.919;2578125;113750;0.115;0.916;0.041;0.906;0.23;0.767;0.158;1;0.509;1;0.86;0.491;0;0.14;0;0.14;0.228;0;0.088;0;0;0;0;0.14;0;0;0.123;0;0.123;0;0;0;0
3DIPP-Instance-00053;31;58;1.871;0.465;588571.931;1.728;0.467;0.541;0.121;0.547;3.808;0.621;0.32;0.727;0.197;1.276;671943.938;1.43;11769.759;1.729;36663.639;1.002;142224.362;1.456;4440625;162750;0.121;1.306;0.032;1.457;0.225;1.002;0.138;0.931;0.276;1;0.793;0.276;0.069;0.5;0;0.103;0.379;0;0.103;0;0.103;0.086;0;0.069;0;0;0.121;0;0.052;0;0;0;0
3DIPP-Instance-00054;21;59;2.81;0.405;501480.61;1.998;0.455;0.633;0.102;0.412;23.455;3.113;0.294;0.734;0.168;1.112;601755.346;1.451;10027.932;1.998;30472.66;1.03;109692.48;1.24;6758775;222990;0.074;1.284;0.015;1.381;0.137;1.03;0.22;1;0.492;1;0.898;0.288;0;0.203;0;0.102;0.186;0;0.186;0;0;0.085;0;0.119;0;0;0.22;0;0;0;0;0;0
3DIPP-Instance-00055;29;60;2.069;0.456;547346.5;1.704;0.429;0.599;0.113;0.571;836.214;3.304;0.2;0.716;0.11;1.382;744687.604;1.266;11206.65;1.671;30963.732;0.987;86430.942;0.904;16500000;397000;0.035;1.179;0.005;1.159;0.078;0.991;0.133;0.933;0.717;1;1;0.467;0.067;0.217;0;0;0.15;0;0.017;0;0;0.15;0;0.05;0;0;0.1;0;0;0;0;0;0
3DIPP-Instance-00056;60;61;1.017;0.126;551224.443;1.503;0.5;0.567;0.113;0.593;522.691;3.719;0.308;0.745;0.201;1.166;702277.191;1.028;11022.262;1.504;32521.92;0.744;130161.995;1.102;4440625;162750;0.131;0.995;0.029;1.121;0.2;0.744;0.115;0.902;0.475;1;0.77;0.377;0.098;0.246;0;0.18;0.164;0;0.131;0;0.049;0.131;0;0.131;0;0;0.213;0;0.016;0;0;0;0
3DIPP-Instance-00057;34;62;1.824;0.616;261464.306;1.884;0.518;0.473;0.129;0.475;4.059;0.553;0.417;0.623;0.255;0.947;876185.575;1.248;12530.242;4.515;35921.627;0.81;209312.02;1.022;12852000;331320;0.058;1.201;0.017;0.999;0.108;0.81;0.097;0.887;0.145;1;0.919;0.339;0.113;0.435;0;0.081;0.226;0;0.129;0;0;0.177;0;0.194;0;0;0.161;0;0.097;0;0;0;0
