File 	Id Model	 Size 	 #Facets 	 Surface 	 Volume 	 Width (original) 	 Height (original) 	 Depth (original) 	 Vol of Envelope (original) 	 MBB-orientation 	 MBB-dimensions 	 volume-MBB 	 Spies-ratio 	 MCV 	 V-value 	 Valentan 	 Time
PartType_12.STL	12	800084	16000	11601.96	28676.13	64.01	45.72	18.29	53518.03	[90°,90°,180°]	[45.72x18.29x64.01]	53518.02	0.536	0.333	0.146	6473.37	8639.27
PartType_13.STL	13	1344684	26892	3192.08	3051.07	24.68	39.49	13.41	13073.3	[0°,0°,0°]	[24.68x39.49x13.41]	13073.3	0.233	0.351	0.199	28134.85	25333.54
PartType_14.STL	14	5390384	107806	16740.56	35628.19	64.8	64.82	33.6	141132.41	[0°,0°,0°]	[64.80x64.82x33.60]	141132.41	0.252	0.438	0.181	50654.64	524019.15
PartType_15.STL	15	2964784	59294	1840.22	2271.25	36.92	11.88	11.88	5211.18	[178°,90°,175°]	[11.88x11.88x36.92]	5210.6	0.436	0.407	0.085	48041.45	119567.04
PartType_16.STL	16	885984	17718	10598.67	6167.31	21.3	29.74	72.01	45609.2	[89°,90°,89°]	[72.96x28.18x21.30]	43789.86	0.141	0.236	0.092	30448.79	12793.76
PartType_17.STL	17	519784	10394	7424.74	4438.81	27.12	12.38	76.77	25783.53	[0°,0°,0°]	[27.12x12.38x76.77]	25783.53	0.172	0.486	0.087	17385.92	4871.09
PartType_18.STL	18	518584	10370	7424.75	4438.95	27.12	12.38	76.67	25750.08	[0°,0°,0°]	[27.12x12.38x76.67]	25750.08	0.172	0.486	0.087	17345.25	4795.76
PartType_19.STL	19	3771684	75432	47291.47	7201.14	131.64	56.52	56.52	420526.72	[21°,180°,180°]	[131.64x56.50x56.50]	420238.33	0.017	0.584	0.105	495378.42	181703.74
PartType_20.STL	20	624984	12498	5295.44	2539.98	58.79	28.8	16.72	28312.48	[0°,0°,0°]	[58.79x28.80x16.72]	28312.48	0.090	0.178	0.080	26056.33	7216.48
PartType_21.STL	21	327684	6552	1593.9	447.87	14.4	10.62	39.26	6006.58	[0°,0°,0°]	[14.40x10.62x39.26]	6006.58	0.075	0.234	0.082	23317.63	1407.85
PartType_22.STL	22	71084	1420	237.26	116.58	6.12	8.52	6.12	318.9	[180°,280°,90°]	[8.52x6.12x6.11]	318.55	0.366	0.514	0.099	2889.88	420.03
PartType_23.STL	23	484984	9698	10743.96	6101.99	37.93	52.2	39.17	77552.15	[274°,0°,188°]	[36.84x37.00x54.77]	74654.19	0.082	0.234	0.088	17075.56	4278.13
PartType_24.STL	24	5047484	100948	7327.93	13904.66	38.97	64.05	66.97	167141.61	[164°,280°,177°]	[62.20x69.86x35.39]	153772.39	0.090	0.409	0.121	53200.81	427476.84
PartType_25.STL	25	2545584	50910	5930.7	1216.35	9.93	42.37	42.37	17827.68	[315°,270°,324°]	[42.37x42.36x9.93]	17825.52	0.068	0.224	0.191	248228.14	88774.41
PartType_26.STL	26	717734	14353	18804.24	19454.89	91.2	90	14.1	115732.89	[0°,0°,0°]	[91.20x90.00x14.10]	115732.89	0.168	0.407	0.223	13872.98	7688.87
PartType_27.STL	27	1500284	30004	20658.52	11600.02	107.74	43.2	31.61	147120.8	[270°,180°,176°]	[108.25x29.60x43.20]	138417.72	0.084	0.229	0.102	53434.27	41685.40
PartType_28.STL	28	31084	620	1065.14	495.88	18	11.09	10.77	2149.9	[0°,0°,0°]	[18.00x11.09x10.77]	2149.9	0.231	0.345	0.098	1331.74	458.84
PartType_29.STL	29	2213	12	15990.8	105413.7	70.7	71	21	105413.7	[134°,270°,314°]	[21.00x71.00x70.70]	105413.69	1.000	1.000	0.000	1.82	720.47
PartType_30.STL	30	243084	4860	17206.39	36963.85	39.59	72.06	60	171176.14	[0°,0°,0°]	[39.59x72.06x60.00]	171176.14	0.216	0.289	0.110	2262.29	925.93
PartType_31.STL	31	885984	17718	66241.65	96364.25	180.01	74.34	53.25	712643.73	[90°,272°,180°]	[70.45x53.25x182.40]	684216.2	0.141	0.263	0.099	12179.51	11654.03
PartType_32.STL	32	519784	10394	46404.61	69356.17	191.92	67.8	30.96	402867.53	[180°,180°,89°]	[67.26x191.43x30.96]	398631.92	0.174	0.483	0.090	6954.39	4370.90
PartType_33.STL	33	615084	12300	39326.1	64671.62	120	120	18	259200.01	[0°,0°,0°]	[120.00x120.00x18.00]	259200.01	0.250	0.189	0.083	7479.49	5019.12
PartType_34.STL	34	1508634	30171	16802.83	27707.83	47.62	47.63	101.16	229434.94	[180°,180°,236°]	[47.60x47.60x101.16]	229147.76	0.121	0.371	0.068	18296.57	36466.52
PartType_35.STL	35	2478284	49564	57745.02	160778.2	65.31	113.29	80.18	593270.03	[0°,0°,0°]	[65.31x113.29x80.18]	593270.03	0.271	0.346	0.107	17801.38	92164.16
PartType_36.STL	36	201484	4028	29675.93	24127.23	56.2	66.68	69.53	260539.35	[249°,270°,317°]	[66.61x66.97x56.20]	250675.28	0.096	0.108	0.040	4954.35	1062.33
PartType_37.STL	37	246284	4924	63252.48	130256.8	96.57	72.08	103.24	718616.16	[0°,0°,0°]	[96.57x72.08x103.24]	718616.16	0.181	0.164	0.049	2391.09	1498.03
PartType_38.STL	38	327684	6552	9961.85	6997.92	98.16	26.56	36	93852.81	[0°,0°,0°]	[98.16x26.56x36.00]	93852.81	0.075	0.242	0.083	9327.06	1225.79
PartType_39.STL	39	71084	1420	1482.87	1821.59	15.29	15.3	21.3	4982.8	[0°,180°,337°]	[15.28x15.29x21.30]	4976.22	0.366	0.513	0.099	1155.95	407.12
PartType_40.STL	40	5047484	100948	49927.77	247287.47	173.65	131.6	142.88	3265202.78	[234°,327°,177°]	[157.98x97.06x184.83]	2834006.85	0.087	0.411	0.131	20381.58	437352.65
PartType_41.STL	41	3796784	75934	18949.78	33018.05	50.87	47.63	77.52	187829.24	[180°,181°,241°]	[47.73x47.83x78.11]	178319.62	0.185	0.311	0.089	43580.19	174080.31
PartType_42.STL	42	41484	828	2353.49	776.49	25.46	25.46	25.21	16334.53	[74°,90°,106°]	[25.21x25.46x25.46]	16334.53	0.048	0.169	0.079	2509.61	238.57
PartType_43.STL	43	54484	1088	29405.1	325851.71	50	49.86	174.93	436100.74	[0°,0°,0°]	[50.00x49.86x174.93]	436100.74	0.747	1.000	0.000	98.18	74.62
PartType_44.STL	44	26284	524	19601.67	122161.74	50	49.86	175	436275.01	[0°,0°,0°]	[50.00x49.86x175.00]	436275.01	0.280	0.682	0.162	84.08	20.72
PartType_45.STL	45	12584	250	15826.49	114110.73	50	49.86	175	436277.21	[216°,80°,151°]	[176.56x49.59x49.45]	432944.95	0.264	1.000	0.000	34.67	13.75
PartType_46.STL	46	5984	118	25388.81	261320.79	100	100	100	1000000	[124°,37°,308°]	[89.40x109.11x89.47]	872756.51	0.299	1.000	0.000	11.46	594.62
PartType_47.STL	47	684	12	3750	15625	25	25	25	15625	[0°,0°,0°]	[25.00x25.00x25.00]	15625	1.000	1.000	0.000	2.88	3372.91
PartType_48.STL	48	16684	332	31375.64	342330.91	50	49.86	175	436275.01	[0°,0°,0°]	[50.00x49.86x175.00]	436275.01	0.785	1.000	0.000	30.43	52.23
PartType_49.STL	49	12484	248	23528.99	244522.08	50	49.86	125	311625	[0°,0°,0°]	[50.00x49.86x125.00]	311625	0.785	1.000	0.000	23.86	117.28
PartType_50.STL	50	130084	2600	17617.74	219552.47	75	75	75	421875	[134°,85°,202°]	[74.86x74.84x74.74]	418687.92	0.524	1.000	0.000	208.63	1339.21
PartType_51.STL	51	484	8	2758.88	7812.5	25	25	25	15625	[0°,0°,0°]	[25.00x25.00x25.00]	15625	0.500	1.000	0.000	2.83	1297.92
PartType_52.STL	52	684	12	46656	629856	54	108	108	629856	[0°,0°,0°]	[54.00x108.00x108.00]	629856	1.000	1.000	0.000	0.89	739.64
PartType_53.STL	53	684	12	7523.28	28343.52	108	16.2	16.2	28343.52	[0°,0°,0°]	[108.00x16.20x16.20]	28343.52	1.000	1.000	0.000	3.19	17.04
PartType_54.STL	54	1284	24	51927.35	453642.5	77.14	91.57	135	953538.89	[107°,90°,73°]	[135.00x91.57x77.14]	953538.85	0.476	0.778	0.104	2.75	361.70
PartType_55.STL	55	1484	28	12468.41	46544.48	76.73	33.23	54	137681.43	[94°,90°,176°]	[33.23x54.00x76.73]	137681.43	0.338	0.712	0.177	7.50	208.78
PartType_56.STL	56	2684	52	60899.25	349695.94	87.83	107.87	108	1023217.96	[0°,0°,0°]	[87.83x107.87x108.00]	1023217.96	0.342	0.377	0.084	9.06	869.05
PartType_57.STL	57	1084	20	8638.3	25451.13	151.6	30.12	10.8	49311.98	[0°,0°,0°]	[151.60x30.12x10.80]	49311.98	0.516	0.941	0.151	6.79	4.74
PartType_58.STL	58	1084	20	14591.65	38333.78	24.55	27.39	135	90777.86	[0°,0°,0°]	[24.55x27.39x135.00]	90777.86	0.422	0.777	0.147	7.61	13.28
PartType_59.STL	59	2484	48	80804.69	197365.34	54	162	189	1653372	[96°,270°,186°]	[162.00x189.00x54.00]	1653371.99	0.119	0.281	0.060	19.65	79.50
PartType_60.STL	60	699184	13982	87972.66	171256.09	109	127.83	129.1	1798914.35	[6°,181°,180°]	[109.00x118.43x134.37]	1734482.28	0.099	0.212	0.062	7182.42	5891.39
PartType_61.STL	61	389584	7790	59314.19	121782.14	119.62	75.24	131.56	1184205.42	[270°,85°,180°]	[74.40x131.56x119.76]	1172187.04	0.104	0.227	0.099	3794.13	1967.39
PartType_62.STL	62	749484	14988	124980.06	301803.79	95.78	117.85	155.31	1753102.75	[0°,0°,0°]	[95.78x117.85x155.31]	1753102.75	0.172	0.232	0.098	6206.69	6483.16
PartType_63.STL	63	56284	1124	19928.81	79835.91	80.29	78.62	39.01	246259.22	[0°,0°,0°]	[80.29x78.62x39.01]	246259.22	0.324	0.393	0.121	280.58	377.11
PartType_64.STL	64	10684	212	4540.08	11638.98	35.84	24.28	35.06	30510.73	[0°,0°,0°]	[35.84x24.28x35.06]	30510.73	0.382	0.554	0.204	82.70	488.49
PartType_65.STL	65	69284	1384	3169.6	6441.4	32.75	32.94	10.73	11571.98	[0°,0°,0°]	[32.75x32.94x10.73]	11571.98	0.557	0.596	0.116	681.02	403.15
PartType_66.STL	66	26084	520	42201.46	153593.93	162.02	166.75	11.23	303338.34	[90°,6°,270°]	[11.23x175.32x150.25]	295779.31	0.519	0.348	0.105	142.88	58.24
PartType_67.STL	67	58484	1168	65119.18	315865.43	165.75	153.86	53.09	1353861.09	[193°,270°,193°]	[53.09x153.86x165.75]	1353861	0.233	0.272	0.121	240.80	137.54
PartType_68.STL	68	45584	910	35430.42	130642.83	155.27	136.1	19.01	401642.35	[186°,90°,-6°]	[19.01x136.10x155.27]	401642.34	0.325	0.424	0.107	246.79	74.74
PartType_69.STL	69	38684	772	34105.15	124390.62	176	181.37	11.25	359103.79	[0°,0°,0°]	[176.00x181.37x11.25]	359103.79	0.346	0.528	0.175	211.67	40.73
PartType_70.STL	70	449784	8994	33393.41	117394.34	59.57	59.25	132.03	466020.23	[0°,0°,0°]	[59.57x59.25x132.03]	466020.23	0.252	0.419	0.143	2558.39	2793.54
PartType_71.STL	71	162284	3244	22703.13	82999.14	80	52.5	36.7	154112.47	[347°,270°,77°]	[52.50x36.70x80.00]	154112.46	0.539	0.509	0.083	887.35	567.00
PartType_72.STL	72	5284	104	15420.95	40860.44	140.43	163.03	11.65	266721.04	[270°,135°,90°]	[11.65x39.60x197.26]	91001.39	0.449	0.551	0.168	39.25	8.58
PartType_73.STL	73	58484	1168	65119.18	315865.42	165.75	153.86	53.09	1353861.09	[90°,90°,0°]	[153.86x53.09x165.75]	1353861.03	0.233	0.269	0.119	240.80	137.77
PartType_74.STL	74	87684	1752	40426.84	157470.4	104.51	104.21	64.44	701776.42	[270°,159°,180°]	[104.53x64.44x104.01]	700591.46	0.225	0.264	0.090	449.79	404.44
PartType_75.STL	75	38284	764	45271.78	213242.35	137.71	137.71	42.99	815227.89	[0°,0°,0°]	[137.71x137.71x42.99]	815227.89	0.262	0.361	0.120	162.20	151.14
PartType_76.STL	76	16384	326	4789.84	9933.04	30.09	76.94	7.24	16762.39	[180°,180°,180°]	[30.09x76.94x7.24]	16762.39	0.593	0.554	0.078	157.20	16.77
PartType_77.STL	77	45584	910	35430.42	130642.83	155.27	136.1	19.01	401642.35	[292°,90°,68°]	[19.01x136.10x155.27]	401642.34	0.325	0.420	0.108	246.79	74.78
PartType_78.STL	78	177984	3558	15914.39	50089.05	60.23	59.9	87.6	316058.58	[357°,90°,93°]	[59.90x87.60x60.23]	316058.57	0.159	0.332	0.094	1130.45	425.38
PartType_79.STL	79	52484	1048	23462.92	118061.86	53.59	130.52	64.58	451695.79	[0°,0°,0°]	[53.59x130.52x64.58]	451695.79	0.261	0.693	0.192	208.27	89.57
PartType_80.STL	80	72784	1454	39689.86	94270.92	53.64	137.79	64.35	475684.63	[0°,0°,0°]	[53.64x137.79x64.35]	475684.63	0.198	0.213	0.086	612.16	90.64
PartType_81.STL	81	5084	100	10909.76	23948.98	80.71	81.38	6.34	41660.18	[246°,90°,114°]	[6.34x81.38x80.71]	41660.17	0.575	0.431	0.135	45.55	70.50
PartType_82.STL	82	16384	326	42307.44	215797.11	124.13	137.58	48.13	821820.16	[0°,0°,0°]	[124.13x137.58x48.13]	821820.16	0.263	0.563	0.220	63.91	134.94
PartType_83.STL	83	16384	326	42307.43	215797.01	124.13	137.58	48.13	821819.4	[0°,0°,0°]	[124.13x137.58x48.13]	821819.4	0.263	0.561	0.223	63.91	134.28
PartType_84.STL	84	2183284	43664	143958.32	392400.09	108.81	97.62	163.74	1739274.09	[304°,270°,30°]	[93.86x169.10x108.81]	1727048.59	0.227	0.471	0.047	16018.84	69395.42
PartType_85.STL	85	286384	5726	79145.3	285078.32	94.58	178.52	181.7	3067866.61	[0°,0°,0°]	[94.58x178.52x181.70]	3067866.61	0.093	0.374	0.145	1589.69	1110.50
PartType_86.STL	86	286384	5726	79150.13	285121.64	94.58	178.52	181.7	3067866.61	[349°,270°,259°]	[178.52x181.70x94.58]	3067866.54	0.093	0.454	0.174	1589.54	1156.05
PartType_87.STL	87	10884	216	7336.83	16186.56	45.77	46.54	22.74	48439.2	[0°,0°,0°]	[45.77x46.54x22.74]	48439.2	0.334	0.284	0.079	97.91	258.15
PartType_88.STL	88	719484	14388	46209.58	105558.4	80.7	74.64	175.98	1059991.91	[278°,240°,178°]	[77.47x182.75x70.31]	995369.47	0.106	0.399	0.104	6298.54	6543.07
PartType_89.STL	89	194984	3898	36725.37	78246.95	80.88	105.93	104.2	892730.04	[120°,270°,300°]	[104.20x105.93x80.88]	892730	0.088	0.349	0.159	1829.53	739.64
PartType_90.STL	90	137184	2742	34507.75	66285.21	80.88	105.93	104.2	892769.55	[327°,304°,61°]	[127.01x118.83x58.14]	877517.62	0.076	0.361	0.140	1427.47	459.55
PartType_91.STL	91	204784	4094	37462.51	79374.79	80.88	105.93	104.11	892024.83	[0°,-4°,277°]	[114.39x71.83x107.79]	885675.33	0.090	0.329	0.145	1932.24	784.96
PartType_92.STL	92	139584	2790	34423.68	65514.92	80.87	105.92	104.11	891773.38	[0°,0°,0°]	[80.87x105.92x104.11]	891773.38	0.074	0.350	0.140	1465.96	448.97
PartType_93.STL	93	1224084	24480	60587.51	192834.76	103.6	100.78	103.91	1084957.28	[0°,0°,0°]	[103.60x100.78x103.91]	1084957.28	0.178	0.254	0.093	7691.47	21038.76
PartType_94.STL	94	1235084	24700	62127.99	197678.52	103.6	100.78	103.91	1084957.64	[0°,0°,0°]	[103.60x100.78x103.91]	1084957.64	0.182	0.256	0.087	7762.91	20254.76
PartType_95.STL	95	1035484	20708	111264.11	230893.5	155.84	120.47	165.04	3098441.72	[90°,182°,180°]	[156.05x165.04x118.88]	3061799.31	0.075	0.195	0.082	9978.87	13893.02
PartType_96.STL	96	166684	3332	11798.95	21757.76	128.55	25.27	21.69	70454.91	[348°,90°,12°]	[21.69x25.27x128.55]	70454.91	0.309	0.165	0.059	1806.90	289.36
PartType_97.STL	97	2304484	46088	74663.61	709096.89	166.27	197.99	48.54	1597798.06	[0°,0°,0°]	[166.27x197.99x48.54]	1597798.06	0.444	0.468	0.050	4852.79	57616.50
PartType_98.STL	98	45584	910	11015.03	30503.11	54	66.9	20.97	75751.27	[0°,0°,0°]	[54.00x66.90x20.97]	75751.27	0.403	0.501	0.235	328.61	196.29
PartType_99.STL	99	45584	910	11015.03	30503.1	54	66.9	20.97	75751.27	[0°,0°,0°]	[54.00x66.90x20.97]	75751.27	0.403	0.497	0.234	328.61	197.40
PartType_100.STL	100	445784	8914	7019.33	6994.07	82.55	44.99	10.87	40381.6	[0°,0°,0°]	[82.55x44.99x10.87]	40381.6	0.173	0.173	0.061	8946.20	2380.17
PartType_101.STL	101	17884	356	2945.52	3110.98	51.22	47.72	4.48	10954.59	[0°,180°,101°]	[47.18x50.18x4.48]	10611.7	0.293	0.572	0.187	337.07	40.45
PartType_102.STL	102	12584	250	1702.7	1690.56	51.71	19.66	4.48	4557.17	[90°,10°,0°]	[52.35x4.48x13.52]	3173.12	0.533	0.794	0.185	251.80	14.89
PartType_103.STL	103	17784	354	1393.98	1687.78	8.4	27	10.5	2380.72	[0°,0°,0°]	[8.40x27.00x10.50]	2380.72	0.709	0.462	0.155	292.38	79.63
PartType_104.STL	104	20584	410	4969.15	9655.27	45.79	50.54	20.22	46811.35	[0°,0°,0°]	[45.79x50.54x20.22]	46811.35	0.206	0.752	0.232	211.01	147.86
PartType_105.STL	105	20584	410	4969.15	9655.27	45.79	50.54	20.22	46811.34	[0°,0°,0°]	[45.79x50.54x20.22]	46811.34	0.206	0.752	0.232	211.01	146.02
PartType_106.STL	106	80184	1602	27383.21	90339.12	97.5	112.62	49.91	548012.06	[0°,0°,0°]	[97.50x112.62x49.91]	548012.06	0.165	0.276	0.097	485.59	132.50
PartType_107.STL	107	30384	606	9809.6	27963.94	31.5	42.17	74.25	98628.28	[0°,0°,0°]	[31.50x42.17x74.25]	98628.28	0.284	0.540	0.120	212.58	103.76
PartType_108.STL	108	170584	3410	55367.88	137702.98	143.76	143.76	97.84	2022131.27	[270°,135°,253°]	[105.09x76.13x195.83]	1566677.3	0.088	0.313	0.083	1371.10	531.16
PartType_109.STL	109	138684	2772	12734.45	50323.28	130.67	24.56	18.12	58144.9	[0°,0°,0°]	[130.67x24.56x18.12]	58144.9	0.866	0.842	0.179	701.46	263.58
PartType_110.STL	110	22884	456	14850.19	48667.98	135.7	64.04	25.57	222184.16	[0°,0°,0°]	[135.70x64.04x25.57]	222184.16	0.219	0.385	0.096	139.14	15.01
PartType_111.STL	111	343484	6868	6986.38	11217.61	36.56	36.17	51.9	68633.39	[0°,0°,0°]	[36.56x36.17x51.90]	68633.39	0.163	0.344	0.079	4277.42	1991.17
PartType_112.STL	112	51084	1020	33026.24	78262.6	166.13	193.37	12.4	398219.6	[0°,0°,0°]	[166.13x193.37x12.40]	398219.6	0.197	0.282	0.089	430.43	89.89
PartType_113.STL	113	291584	5830	52466.15	135188.99	144.56	144.57	86.93	1816711.65	[270°,135°,90°]	[86.93x173.44x94.13]	1419193.54	0.095	0.267	0.096	2262.59	1164.39
PartType_114.STL	114	131684	2632	69834.84	225473.81	145.66	140.9	98.68	2025275.63	[283°,270°,13°]	[140.90x98.68x145.66]	2025275.56	0.111	0.175	0.068	815.20	361.64
PartType_115.STL	115	50484	1008	48982.13	136112.29	118.07	133.35	149.18	2348919.47	[0°,0°,0°]	[118.07x133.35x149.18]	2348919.47	0.058	0.243	0.087	362.74	105.50
PartType_116.STL	116	157884	3156	73533.93	184256.19	129.48	133.54	149.31	2581677.25	[51°,270°,231°]	[149.31x133.54x129.48]	2581677.1	0.071	0.189	0.065	1259.51	510.27
PartType_117.STL	117	344184	6882	20904.83	35596.31	59.05	105.55	40.53	252594.29	[0°,0°,0°]	[59.05x105.55x40.53]	252594.29	0.141	0.098	0.025	4041.63	1833.18
PartType_118.STL	118	351984	7038	45201.11	75325.66	166.56	137.64	40.34	924757.96	[0°,0°,0°]	[166.56x137.64x40.34]	924757.96	0.082	0.202	0.120	4223.33	1594.44
PartType_119.STL	119	204084	4080	4200.74	8228.66	39.28	40.5	7.49	11919.29	[0°,0°,0°]	[39.28x40.50x7.49]	11919.29	0.690	0.628	0.098	2082.85	798.16
PartType_120.STL	120	160784	3214	3920.64	5679.48	39.28	40.5	7.5	11925.32	[0°,0°,0°]	[39.28x40.50x7.50]	11925.32	0.476	0.406	0.122	2218.68	418.21
PartType_121.STL	121	615584	12310	33687.71	52497.91	134.82	114.9	25.83	400139.79	[0°,0°,0°]	[134.82x114.90x25.83]	400139.79	0.131	0.048	0.018	7899.28	4084.51
PartType_122.STL	122	38684	772	8854.91	23975.63	133.04	21.79	10.75	31164.31	[0°,0°,0°]	[133.04x21.79x10.75]	31164.31	0.769	0.881	0.124	285.12	19.61
PartType_123.STL	123	83384	1666	15543.25	51600.49	118.9	55.63	20.71	136986.6	[0°,0°,0°]	[118.90x55.63x20.71]	136986.6	0.377	0.772	0.197	501.84	97.24
PartType_124.STL	124	28484	568	73433.43	141205.4	161.7	60.56	145.97	1429389.28	[359°,180°,0°]	[161.70x60.08x146.89]	1427118.91	0.099	0.307	0.134	295.39	227.35
PartType_125.STL	125	93284	1864	104302.3	266645.03	140.3	139.09	158.74	3097634.63	[354°,267°,88°]	[131.63x162.49x141.22]	3020371.25	0.088	0.223	0.094	729.13	460.86
PartType_126.STL	126	188284	3764	62590.26	158349.64	100.1	167.39	59.48	996598.7	[270°,0°,270°]	[59.48x100.10x167.39]	996598.65	0.159	0.260	0.144	1487.78	433.05
PartType_127.STL	127	132384	2646	23625.21	42193.58	118.91	45.41	37.11	200410.37	[0°,0°,0°]	[118.91x45.41x37.11]	200410.37	0.211	0.369	0.151	1481.56	186.92
PartType_128.STL	128	38684	772	8854.91	23975.63	133.04	21.79	10.75	31164.31	[0°,0°,0°]	[133.04x21.79x10.75]	31164.31	0.769	0.880	0.126	285.12	19.79
PartType_129.STL	129	83384	1666	15543.25	51600.49	118.9	55.63	20.71	136986.6	[90°,270°,270°]	[20.71x55.63x118.90]	136986.6	0.377	0.772	0.198	501.84	97.00
PartType_130.STL	130	28484	568	73433.43	141205.4	161.7	60.56	145.97	1429389.37	[89°,0°,270°]	[146.89x161.70x60.08]	1427118.91	0.099	0.307	0.134	295.39	218.00
PartType_131.STL	131	93284	1864	104302.29	266645.02	140.3	139.09	158.74	3097634.63	[90°,58°,358°]	[86.67x160.57x166.93]	2323051.91	0.115	0.201	0.085	729.13	434.13
PartType_132.STL	132	1020084	20400	21003.71	41143.29	82.89	123.76	7.49	76862.05	[0°,0°,0°]	[82.89x123.76x7.49]	76862.05	0.535	0.189	0.014	10414.23	11506.02
PartType_133.STL	133	188284	3764	62590.26	158349.64	100.1	167.39	59.48	996598.66	[0°,0°,270°]	[167.39x100.10x59.48]	996598.65	0.159	0.260	0.144	1487.78	454.53
PartType_134.STL	134	803584	16070	19603.22	28397.4	84.21	125.08	7.5	78961.24	[0°,0°,0°]	[84.21x125.08x7.50]	78961.24	0.360	0.134	0.019	11093.40	6620.57
PartType_135.STL	135	131684	2632	23626.89	42205.87	118.91	45.41	37.11	200420.67	[0°,0°,0°]	[118.91x45.41x37.11]	200420.67	0.211	0.369	0.151	1473.40	195.43
PartType_136.STL	136	256184	5122	15248.38	22446.63	50.75	90.46	34.83	159890.18	[0°,0°,0°]	[50.75x90.46x34.83]	159890.18	0.140	0.097	0.025	3479.46	916.34
PartType_137.STL	137	80784	1614	21129	43247.97	72.8	48.41	119.88	422541.95	[0°,0°,0°]	[72.80x48.41x119.88]	422541.95	0.102	0.169	0.074	788.53	85.56
PartType_138.STL	138	256084	5120	20658.38	35507.9	59.05	105.26	40.53	251946.78	[0°,0°,0°]	[59.05x105.26x40.53]	251946.78	0.141	0.097	0.025	2978.80	915.76
PartType_139.STL	139	2932884	58656	16377.25	32207.18	116.55	104.9	13.31	162734.28	[0°,0°,0°]	[116.55x104.90x13.31]	162734.28	0.198	0.201	0.049	29826.40	90178.73
PartType_140.STL	140	45484	908	30043.58	96600.18	122.07	117.29	24.63	352646.55	[270°,175°,180°]	[123.72x24.63x114.89]	350108.69	0.276	0.509	0.207	282.40	163.35
PartType_141.STL	141	105484	2108	94868.52	205646.99	160.87	73.02	145.94	1714251.34	[180°,0°,90°]	[73.02x160.87x145.94]	1714251.26	0.120	0.246	0.125	972.46	404.08
PartType_142.STL	142	28484	568	73433.43	141205.4	161.7	60.56	145.97	1429389.28	[89°,180°,90°]	[146.89x161.70x60.08]	1427118.91	0.099	0.307	0.134	295.39	251.73
PartType_143.STL	143	93284	1864	104302.3	266645.03	140.3	139.09	158.74	3097634.63	[268°,46°,1°]	[72.39x161.93x167.88]	1967884.25	0.136	0.223	0.094	729.13	457.88
PartType_144.STL	144	78684	1572	119304.98	325105.75	169.47	94.59	158.49	2540578.87	[0°,0°,0°]	[169.47x94.59x158.49]	2540578.87	0.128	0.218	0.095	576.88	374.38
PartType_145.STL	145	264584	5290	34339.9	78866.38	90.08	121.87	44.73	491029.02	[0°,0°,0°]	[90.08x121.87x44.73]	491029.02	0.161	0.093	0.027	2303.36	1076.65
